x,y,1h,2h,3h,4h,1g,2g,3g,4g,1f,2f,3f,4f,1e,2e,3e,4e
799.466,670.637,2.12859,2.86909,5.70626,6.51563,2.68736,3.83349,4.68395,2.77994,2.89522,6.20486,8.16209,7.11155,0.906132,2.93784,3.53615,3.43754
799.546,570.637,3.70627,6.05147,7.41001,6.7553,2.84706,3.37444,6.00368,3.62892,4.44942,6.55675,8.93098,6.67641,1.82074,1.30235,3.01794,3.30196
799.626,470.637,5.27865,6.62453,5.93911,3.40815,2.27851,3.45977,5.74748,3.90702,5.97305,8.20575,7.68779,5.66991,1.22391,2.56591,3.65248,2.00816
799.705,370.637,3.23549,7.6201,4.94335,4.26281,3.12054,6.12927,3.20377,2.21636,5.4926,8.09496,7.27253,4.19529,2.02501,2.99993,3.3001,1.42451
799.785,270.637,4.02269,6.84078,5.15478,2.89135,3.27723,6.22349,2.8653,1.52057,7.46009,6.99112,5.37528,3.02425,2.13328,2.83963,1.7735,0.842302
849.466,670.677,2.69288,4.17011,5.15529,4.45139,2.42282,4.10179,4.8699,4.11458,2.77414,3.8412,7.31305,5.39757,0.340038,1.40495,3.71794,2.08462
849.546,570.677,4.48008,4.75196,3.24823,3.28943,2.63135,2.9815,4.23795,2.29522,3.5569,6.3324,6.45429,3.64123,1.318,3.5126,2.31667,1.43218
849.626,470.677,3.73088,4.60075,4.61107,2.95233,3.18018,2.27412,3.18378,2.42232,3.95552,7.14346,5.09874,3.37832,2.2212,2.52908,2.64621,1.75968
849.705,370.677,3.77994,5.22109,5.26264,3.99215,3.67568,3.37113,3.3385,2.40197,4.4765,6.42833,6.19273,3.41515,1.24094,2.50978,2.2887,1.08508
849.785,270.677,3.46087,5.22142,2.98336,3.91122,1.74182,3.4615,4.21871,3.303,5.97667,6.57116,4.16992,3.30223,2.33861,2.11116,2.57492,0.669501
899.466,670.717,1.82967,4.12731,4.06504,3.09986,1.50773,2.90343,3.9207,2.80634,2.53094,3.90556,5.59778,3.83231,0.254585,2.01975,1.41417,2.09124
899.546,570.717,2.96333,5.24592,3.27968,2.42666,1.58652,4.29686,2.25236,2.4722,2.87467,3.96439,5.43412,4.5527,1.28085,1.19809,2.42075,1.467
899.626,470.717,2.44071,3.79223,3.91765,2.99926,1.96472,4.16129,2.958,1.96317,4.38608,5.28457,4.9623,3.38761,0.59942,2.13777,1.83795,1.41165
899.705,370.717,3.12835,3.44128,3.93374,2.37968,3.81177,2.912,3.33045,1.46397,3.4381,5.13017,3.7114,3.34435,2.13429,2.48215,1.64724,0.710646
899.785,270.717,3.89881,3.98428,4.25764,3.24444,2.81034,2.76125,2.64175,1.05549,4.10446,6.00061,3.86941,2.01329,1.76685,1.88211,1.22743,0.72474
