x,y,1h,2h,3h,4h,1g,2g,3g,4g,1f,2f,3f,4f,1e,2e,3e,4e
799.546,570.637,4.84373,6.52803,7.78426,6.97047,3.36778,4.558,6.5915,3.57899,4.11135,8.98973,11.1485,7.53046,0.890291,3.21159,3.3871,1.23702
799.626,470.637,5.11809,9.11367,6.40543,4.1773,4.82705,7.28973,5.85213,4.80099,5.9429,10.6594,10.2655,7.64007,1.60454,4.28658,4.24139,1.78866
799.705,370.637,5.82322,7.8531,6.93145,5.03415,4.77379,6.828,5.44473,4.00675,7.13861,11.1394,8.09774,5.62881,4.06992,2.16847,2.75627,1.80979
799.785,270.637,5.63163,9.80186,4.12468,4.10566,4.6981,6.49635,5.6876,4.16389,8.63463,8.17304,8.03645,4.54576,3.5127,4.50005,3.08532,0.649113
849.466,670.677,3.25431,5.91271,5.70173,5.07471,2.43253,2.34925,4.88455,3.54845,3.836,7.40935,10.0554,6.78665,0.534146,1.33344,3.76755,2.96364
849.546,570.677,2.88543,4.61844,6.2787,4.24559,2.9213,4.86327,4.3892,4.23495,4.72146,6.88938,6.86363,7.07487,1.43987,2.52496,2.79785,2.12637
849.626,470.677,4.56316,6.3808,5.80406,3.57821,3.92864,5.00412,4.40455,4.15399,5.24134,8.02263,7.20742,5.3748,1.26512,4.63361,3.95084,1.38337
849.705,370.677,4.43061,6.57552,6.92521,3.62506,3.3402,4.56111,3.21445,3.74458,5.9117,9.46142,8.12802,3.72736,2.32417,3.11515,4.75614,1.90123
849.785,270.677,4.46989,6.91767,5.42053,4.58161,4.83894,4.46387,4.72871,3.78765,5.70023,7.97781,7.98818,4.31244,1.42547,1.59455,1.12092,0.719081
899.466,670.717,4.30317,4.42836,4.90511,4.01627,1.83854,3.04565,4.32163,4.49867,2.84131,5.85321,7.11471,5.65609,0.196098,1.24101,2.51687,3.28613
899.546,570.717,4.04287,4.82736,4.4207,5.46553,2.52328,3.44669,3.62817,3.52275,4.80737,6.72126,6.90157,5.01678,1.14854,2.07218,3.13734,1.44029
899.626,470.717,3.72797,4.96243,4.4361,3.31767,4.01345,4.04595,3.02311,3.63577,4.95177,7.12857,6.76393,5.45685,0.975493,4.19453,2.88778,1.65667
899.705,370.717,3.79793,6.14057,4.25872,4.02127,4.51497,3.88116,4.79832,2.77207,6.19376,6.49126,6.82342,5.02886,1.47766,3.6081,1.68595,0.653268
899.785,270.717,3.58849,6.72798,5.20418,4.45049,4.05957,3.69413,5.5479,2.57064,6.58839,6.94444,3.80586,2.77119,2.71764,1.69002,2.12742,0.997995
