x,y,1h,2h,3h,4h,1g,2g,3g,4g,1f,2f,3f,4f,1e,2e,3e,4e
449.626,470.358,42.7705,24.0857,17.8271,39.1198,33.8962,13.7724,18.4393,34.5426,99.0343,53.1247,49.8625,113.438,20.3196,9.98499,14.9921,19.2452
499.626,470.398,48.4168,17.3075,23.788,47.4375,43.7962,19.2319,20.2597,28.1487,111.658,68.0544,75.7559,111.907,28.1464,16.4144,18.6759,21.192
549.626,470.438,52.3527,45.7214,40.0312,55.0093,44.8823,35.119,37.7538,45.2183,115.647,114.699,114.911,118.234,23.3608,21.6189,18.4292,30.4765
599.626,470.478,57.7831,63.7083,64.4817,59.0725,39.2805,56.0915,55.6396,36.2237,90.0702,197.984,173.665,104.294,18.7847,40.8251,39.8305,27.6144
649.626,470.518,54.1036,106.371,79.331,43.9909,29.7345,75.9003,70.5218,24.5373,78.1097,179.623,177.638,97.8593,14.4771,52.304,63.1387,19.6726
699.626,470.557,37.7086,71.6188,71.6832,33.6324,21.494,39.3855,42.318,17.9117,55.1726,126.466,134.875,67.7815,15.2788,23.0074,26.6251,15.1664
749.626,470.597,19.8485,44.1074,50.6249,27.7904,15.42,21.8345,25.6372,17.1513,52.315,72.3051,82.8896,52.296,6.01255,16.2556,18.6145,7.79897
799.626,470.637,16.7173,38.8753,34.7249,16.5376,14.4409,23.3651,18.4622,20.529,42.9227,57.0855,60.9028,40.7386,5.90066,11.0311,10.7471,8.64404
849.626,470.677,14.5501,22.0726,26.5482,18.4546,11.8258,13.0703,12.1436,13.7281,40.2145,51.9539,53.7928,28.4575,5.61375,10.2025,11.66,8.32141
