x,y,1h,2h,3h,4h,1g,2g,3g,4g,1f,2f,3f,4f,1e,2e,3e,4e
799.546,570.637,10.1339,11.2771,14.1045,9.89813,14.1922,7.49037,7.30455,7.18563,12.9262,31.3681,25.4525,15.6549,1.86168,9.48487,5.58409,2.69342
799.626,470.637,12.5425,18.9916,14.1481,9.33653,10.1072,7.05287,10.0769,8.84133,17.9195,18.7991,24.2826,22.1722,3.74329,4.62911,5.1075,4.42908
799.705,370.637,9.47049,12.3716,14.4047,12.781,5.65393,12.5013,5.73451,6.84136,19.5974,16.7545,25.1993,18.2186,3.457,4.25665,4.99968,3.62025
799.785,270.637,12.744,15.985,17.5522,9.33249,7.44937,7.95331,7.55543,6.6652,23.7903,26.6686,22.7439,9.69181,2.09271,4.46281,5.13914,3.15786
849.466,670.677,10.7106,4.91969,8.86544,11.769,4.86312,9.92845,6.75498,6.16283,10.5545,17.812,18.067,14.3603,0.00115869,0.780581,3.87381,2.81533
849.546,570.677,5.89418,8.65545,15.8205,8.65959,8.45555,8.2024,4.33447,5.05493,14.6745,15.7457,18.4061,17.3782,1.95775,4.42198,3.37819,1.07866
849.626,470.677,8.45847,12.1089,12.9013,7.80039,7.89411,5.84645,7.21411,2.64211,14.123,22.93,19.4005,12.926,2.85733,4.71208,2.37087,4.94483
849.705,370.677,10.4835,9.26733,11.2591,13.1598,5.22908,7.95024,4.08726,6.47777,14.3525,11.6854,12.5199,11.1935,3.64607,2.31442,2.84558,0.905584
849.785,270.677,10.4371,9.86444,8.09048,9.10891,5.26242,6.54231,4.76539,8.9275,12.3645,10.53,18.1731,15.1423,3.76111,7.33072,3.08451,0.00798303
899.466,670.717,9.75646,5.64009,9.6166,7.60593,5.45776,5.10426,6.78125,4.8338,10.1631,11.6655,8.13242,8.82248,0.0229779,4.29065,2.49874,2.99407
899.546,570.717,4.64983,8.39439,5.74015,4.12082,2.02892,4.42908,4.72361,7.80418,12.268,13.294,14.506,9.74169,0.726936,2.05436,3.55923,1.09403
899.626,470.717,5.99136,7.08686,6.16139,4.678,3.40583,7.85977,2.22341,2.82651,9.6724,14.575,15.0713,7.97703,3.39515,0.885318,2.47649,1.58189
899.705,370.717,10.1931,7.08018,6.69577,4.84706,7.44658,7.63823,3.79313,2.54559,12.4459,17.6061,15.3412,10.5177,1.92124,0.980193,2.43852,1.73939
899.785,270.717,6.86573,7.90364,7.36404,2.73781,5.9998,8.24626,7.19257,3.8169,12.6055,10.2519,16.4237,7.4637,0.293137,3.04494,3.09077,1.11572
